Frequency (Hz)	Level (dB)
11541.796875	-80.907600
11584.863281	-81.815765
11627.929688	-81.995827
11670.996094	-81.470085
11714.062500	-82.101608
11757.128906	-82.356895
11800.195312	-82.147354
11843.261719	-81.851120
11886.328125	-81.120537
11929.394531	-79.979195
11972.460938	-80.110313
12015.527344	-80.917122
12058.593750	-81.184807
12101.660156	-81.505066
12144.726562	-82.276352
12187.792969	-82.101608
12230.859375	-81.319435
12273.925781	-80.887260
12316.992188	-81.335739
12360.058594	-80.878494
12403.125000	-80.830307
12446.191406	-81.513992
12489.257812	-81.506187
12532.324219	-81.824814
12575.390625	-82.457581
12618.457031	-82.114723
12661.523438	-81.949623
12704.589844	-81.888245
12747.656250	-81.648003
12790.722656	-81.838272
12833.789062	-81.553848
12876.855469	-81.041672
12919.921875	-80.401360
12962.988281	-79.982521
13006.054688	-79.943489
13049.121094	-80.375916
13092.187500	-81.234924
13135.253906	-82.000679
13178.320312	-81.884239
13221.386719	-81.065331
13264.453125	-80.843636
13307.519531	-81.429016
13350.585938	-81.546844
13393.652344	-81.595596
13436.718750	-81.124252
13479.785156	-81.158424
13522.851562	-81.933296
13565.917969	-82.447754
13608.984375	-82.628159
13652.050781	-82.525429
13695.117188	-82.218689
13738.183594	-81.981651
13781.250000	-81.925034
13824.316406	-82.053612
13867.382812	-82.384499
13910.449219	-82.680229
13953.515625	-82.379807
13996.582031	-82.032097
14039.648438	-82.161575
14082.714844	-81.785683
14125.781250	-80.908920
14168.847656	-81.061577
14211.914062	-81.576424
14254.980469	-81.421379
14298.046875	-81.815445
14341.113281	-82.093285
14384.179688	-81.958633
14427.246094	-81.512527
14470.312500	-81.280022
14513.378906	-81.033981
14556.445312	-81.190231
14599.511719	-81.560867
14642.578125	-81.738586
14685.644531	-82.364670
14728.710938	-82.593559
14771.777344	-81.989792
14814.843750	-81.566086
14857.910156	-82.019753
14900.976562	-82.611473
14944.042969	-82.596130
14987.109375	-82.459831
15030.175781	-82.653030
15073.242188	-82.702751
15116.308594	-82.910255
15159.375000	-82.976898
15202.441406	-82.734642
15245.507812	-82.715096
15288.574219	-82.606682
15331.640625	-81.861351
15374.707031	-81.558678
15417.773438	-81.828300
15460.839844	-82.306137
15503.906250	-82.683075
15546.972656	-82.184654
15590.039062	-81.324059
15633.105469	-80.656273
15676.171875	-80.544525
15719.238281	-81.696686
15762.304688	-82.437904
15805.371094	-82.009781
15848.437500	-81.636887
15891.503906	-81.245407
15934.570312	-81.258087
15977.636719	-81.729858
16020.703125	-82.175232
16063.769531	-82.281044
16106.835938	-82.111656
16149.902344	-81.969490
16192.968750	-81.872841
16236.035156	-81.965668
16279.101562	-82.052887
16322.167969	-81.938591
16365.234375	-81.850655
16408.300781	-82.275772
16451.367188	-82.081108
16494.433594	-81.596855
16537.500000	-81.447983
16580.566406	-81.582458
16623.632812	-82.069527
16666.699219	-82.256393
16709.765625	-81.908890
16752.832031	-81.550667
16795.898438	-81.104553
16838.964844	-80.805450
16882.031250	-81.079735
16925.097656	-81.675072
16968.164062	-82.211456
17011.230469	-82.162598
17054.296875	-81.840660
17097.363281	-81.698570
17140.429688	-81.703491
17183.496094	-81.594482
17226.562500	-81.651077
17269.628906	-81.849106
17312.695312	-81.962402
17355.761719	-81.882462
17398.828125	-81.865707
17441.894531	-82.114502
17484.960938	-82.244995
17528.027344	-82.060997
17571.093750	-81.638031
17614.160156	-81.323692
17657.226562	-81.434540
17700.292969	-81.842323
17743.359375	-82.039116
17786.425781	-82.026505
17829.492188	-81.659798
17872.558594	-80.728607
17915.625000	-79.421059
17958.691406	-78.002113
18001.757812	-77.141144
18044.824219	-77.617798
18087.890625	-79.001328
18130.957031	-80.243546
18174.023438	-81.265152
18217.089844	-81.889580
18260.156250	-82.012390
18303.222656	-81.831589
18346.289062	-81.564468
18389.355469	-81.265747
18432.421875	-81.247963
18475.488281	-81.356262
18518.554688	-81.742455
18561.621094	-82.224327
18604.687500	-82.137535
18647.753906	-81.779083
18690.820312	-81.601349
18733.886719	-81.562958
18776.953125	-81.391159
18820.019531	-81.556602
18863.085938	-81.824692
18906.152344	-81.908478
18949.218750	-81.860710
18992.285156	-81.773872
19035.351562	-81.560707
19078.417969	-81.041656
19121.484375	-80.179207
19164.550781	-78.974693
19207.617188	-78.701591
19250.683594	-80.394875
19293.750000	-81.651535
19336.816406	-82.024384
19379.882812	-82.341789
19422.949219	-82.286041
19466.015625	-81.910416
19509.082031	-81.734192
19552.148438	-81.587135
19595.214844	-81.688385
19638.281250	-82.197884
19681.347656	-82.506996
19724.414062	-82.316605
19767.480469	-82.412430
19810.546875	-82.633743
19853.613281	-82.437080
19896.679688	-81.702286
19939.746094	-81.357887
19982.812500	-81.738174
20025.878906	-82.223068
20068.945312	-82.561638
20112.011719	-82.824287
20155.078125	-82.890053
20198.144531	-82.781029
20241.210938	-82.667221
20284.277344	-82.457695
20327.343750	-82.309631
20370.410156	-82.517380
20413.476562	-82.751213
20456.542969	-82.758987
20499.609375	-83.028961
20542.675781	-83.279869
20585.742188	-83.521645
20628.808594	-83.595909
20671.875000	-83.468651
20714.941406	-83.388863
20758.007812	-83.458626
20801.074219	-83.808182
20844.140625	-84.027382
20887.207031	-83.813385
20930.273438	-83.480980
20973.339844	-83.561195
21016.406250	-83.870407
21059.472656	-83.909508
21102.539062	-83.901695
21145.605469	-84.081146
21188.671875	-84.087250
21231.738281	-84.095306
21274.804688	-84.302155
21317.871094	-84.347580
21360.937500	-84.484497
21404.003906	-84.464386
21447.070312	-84.265411
21490.136719	-84.190971
21533.203125	-83.933510
21576.269531	-83.880875
21619.335938	-84.039505
21662.402344	-84.551491
21705.468750	-84.539108
21748.535156	-84.323212
21791.601562	-84.663567
21834.667969	-84.821846
21877.734375	-84.598999
21920.800781	-84.520836
21963.867188	-84.403511
22006.933594	-84.217453
